,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,19.0,9.0,1.0,2013
0,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,23.0,41.0,0.0,2013
0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,29.0,3.0,1.0,2013
0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,20.0,10.0,1.0,2013
0,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,16.0,26.0,0.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,20.0,17.0,1.0,2013
0,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,27.0,31.0,0.0,2013
0,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,23.0,3.0,1.0,2013
0,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,30.0,9.0,1.0,2013
0,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,31.0,7.0,1.0,2013
0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,31.0,7.0,1.0,2013
0,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,20.0,27.0,0.0,2013
0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,34.0,30.0,1.0,2013
0,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,38.0,0.0,1.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,27.0,23.0,1.0,2013
0,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,27.0,7.0,1.0,2013
0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,45.0,17.0,1.0,2013
0,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,27.0,20.0,1.0,2013
0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,23.0,40.0,0.0,2013
0,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,37.0,21.0,1.0,2013
0,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,11.0,35.0,0.0,2013
0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,27.0,34.0,0.0,2013
0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,23.0,20.0,1.0,2013
0,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,17.0,6.0,1.0,2013
0,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,3.0,37.0,0.0,2013
0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,20.0,23.0,0.0,2013
0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,10.0,13.0,0.0,2013
0,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,40.0,32.0,1.0,2013
0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,31.0,7.0,1.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,38.0,13.0,1.0,2013
0,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,30.0,21.0,1.0,2013
0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,14.0,24.0,0.0,2013
0,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,52.0,20.0,1.0,2013
0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,23.0,30.0,0.0,2013
0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,38.0,17.0,1.0,2013
0,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,37.0,24.0,1.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,17.0,26.0,0.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,23.0,26.0,0.0,2013
0,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,34.0,20.0,1.0,2013
0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,13.0,6.0,1.0,2013
0,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,34.0,28.0,1.0,2013
0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,22.0,9.0,1.0,2013
0,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,18.0,26.0,0.0,2013
0,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,21.0,36.0,0.0,2013
0,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,22.0,6.0,1.0,2013
0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,27.0,17.0,1.0,2013
0,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,48.0,51.0,0.0,2013
0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,34.0,3.0,1.0,2013
0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,28.0,30.0,0.0,2013
0,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,27.0,21.0,1.0,2013
0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,24.0,7.0,1.0,2013
0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,20.0,31.0,0.0,2013
0,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,17.0,19.0,0.0,2013
0,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,17.0,31.0,0.0,2013
0,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,10.0,35.0,0.0,2013
0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,13.0,38.0,0.0,2013
0,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,6.0,19.0,0.0,2013
0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,24.0,27.0,0.0,2013
0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,20.0,13.0,1.0,2013
0,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,35.0,19.0,1.0,2013
0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,32.0,20.0,1.0,2013
0,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,30.0,27.0,1.0,2013
0,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,31.0,16.0,1.0,2013
0,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,19.0,9.0,1.0,2013
0,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,22.0,34.0,0.0,2013
0,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,30.0,27.0,1.0,2013
0,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,6.0,24.0,0.0,2013
0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,17.0,16.0,1.0,2013
0,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,24.0,27.0,0.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,21.0,23.0,0.0,2013
0,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,45.0,41.0,1.0,2013
0,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,3.0,17.0,0.0,2013
0,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,30.0,15.0,1.0,2013
0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,31.0,23.0,1.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,17.0,31.0,0.0,2013
0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,31.0,13.0,1.0,2013
0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,19.0,16.0,1.0,2013
0,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,39.0,33.0,1.0,2013
0,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,23.0,7.0,1.0,2013
0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,13.0,31.0,0.0,2013
0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,42.0,10.0,1.0,2013
0,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,31.0,30.0,1.0,2013
0,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,7.0,15.0,0.0,2013
0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,23.0,17.0,1.0,2013
0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,35.0,17.0,1.0,2013
0,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,27.0,17.0,1.0,2013
0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,49.0,9.0,1.0,2013
0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,21.0,18.0,1.0,2013
0,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,45.0,21.0,1.0,2013
0,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,27.0,13.0,1.0,2013
0,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,31.0,44.0,0.0,2013
0,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,9.0,14.0,0.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,22.0,20.0,1.0,2013
0,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,34.0,10.0,1.0,2013
0,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,27.0,23.0,1.0,2013
0,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,26.0,20.0,1.0,2013
0,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,21.0,28.0,0.0,2013
0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,13.0,23.0,0.0,2013
0,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,30.0,24.0,1.0,2013
0,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,20.0,49.0,0.0,2013
0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,27.0,24.0,1.0,2013
0,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,24.0,18.0,1.0,2013
0,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,55.0,31.0,1.0,2013
0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,24.0,27.0,0.0,2013
0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,20.0,27.0,0.0,2013
0,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,34.0,27.0,1.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,27.0,29.0,0.0,2013
0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,13.0,27.0,0.0,2013
0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,23.0,10.0,1.0,2013
0,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,21.0,3125.0,1752.0,31.0,3806.0,1762.0,52.3,8.0,38.0,0.0,2013
0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,10.0,33.0,0.0,2013
0,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,20.0,17.0,1.0,2013
0,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,19.0,21.0,0.0,2013
0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,9.0,10.0,0.0,2013
0,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,27.0,24.0,1.0,2013
0,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,20.0,28.0,0.0,2013
0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,20.0,3954.0,1504.0,31.0,3344.0,1544.0,64.3,49.0,17.0,1.0,2013
0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,22.0,19.0,1.0,2013
0,25.0,3496.0,1894.0,15.0,3947.0,1412.0,46.0,14.0,3725.0,1743.0,20.0,3546.0,1849.0,63.8,27.0,30.0,0.0,2013
0,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,41.0,28.0,1.0,2013
0,27.0,3103.0,2307.0,26.0,4070.0,1626.0,63.1,29.0,2932.0,2158.0,22.0,4092.0,1727.0,67.2,37.0,14.0,1.0,2013
0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,37.0,27.0,1.0,2013
0,19.0,4110.0,2566.0,19.0,3105.0,1786.0,38.2,34.0,3751.0,2164.0,21.0,3538.0,1781.0,69.1,24.0,16.0,1.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,20.0,16.0,1.0,2013
0,23.0,4281.0,1828.0,30.0,3429.0,1391.0,67.5,29.0,3590.0,1328.0,22.0,3956.0,2000.0,41.0,23.0,20.0,1.0,2013
0,30.0,4136.0,1755.0,36.0,3962.0,1923.0,82.4,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,41.0,20.0,1.0,2013
0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,31.0,3340.0,2000.0,11.0,3123.0,1958.0,38.6,23.0,28.0,0.0,2013
0,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,31.0,4002.0,1540.0,25.0,3612.0,1795.0,45.0,14.0,27.0,0.0,2013
0,26.0,5444.0,1873.0,39.0,2752.0,1626.0,54.0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,27.0,17.0,1.0,2013
0,19.0,3236.0,2188.0,27.0,3711.0,2002.0,61.9,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,41.0,20.0,1.0,2013
0,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,18.0,2979.0,2201.0,17.0,4139.0,1725.0,53.5,23.0,20.0,1.0,2013
0,44.0,3588.0,1332.0,21.0,3962.0,2108.0,67.3,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,27.0,13.0,1.0,2013
0,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,20.0,4087.0,2065.0,30.0,3536.0,1535.0,48.0,24.0,20.0,1.0,2013
0,28.0,4243.0,1247.0,30.0,3271.0,2063.0,48.4,19.0,4918.0,1473.0,29.0,3824.0,2145.0,79.0,13.0,17.0,0.0,2013
0,34.0,4482.0,1792.0,29.0,3874.0,1646.0,48.6,21.0,2820.0,1612.0,26.0,3896.0,1769.0,55.2,21.0,24.0,0.0,2013
0,31.0,3813.0,1743.0,28.0,3730.0,2583.0,58.7,27.0,3441.0,1260.0,20.0,4595.0,1767.0,50.4,6.0,13.0,0.0,2013
0,25.0,4268.0,2136.0,24.0,3752.0,1998.0,43.3,32.0,3427.0,2081.0,22.0,3950.0,1596.0,34.9,26.0,26.0,0.5,2013
0,18.0,3340.0,2056.0,30.0,3728.0,1351.0,54.8,21.0,4328.0,1965.0,24.0,3681.0,1687.0,61.6,38.0,41.0,0.0,2013
0,26.0,3567.0,1440.0,28.0,4589.0,2056.0,69.5,19.0,3043.0,2026.0,29.0,3573.0,1743.0,56.9,16.0,20.0,0.0,2013
0,29.0,4040.0,1383.0,21.0,3897.0,2173.0,58.0,24.0,4017.0,1383.0,31.0,4636.0,1668.0,75.1,11.0,27.0,0.0,2013
