,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,home_Year,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,visiting_Year,home score,visiting score,Win Binary
0,15,3225,3296,25,3315,1494,83.0,2019,28,3554,1901,20,3470,2315,54.4,2019,25.0,40.0,0.0
0,33,3731,1685,16,4225,1812,55.7,2019,21,2812,1583,22,3823,2339,45.6,2019,24.0,3.0,1.0
0,26,3804,1156,16,4198,2166,68.3,2019,31,4426,1453,14,3204,1805,50.5,2019,10.0,30.0,0.0
0,21,3108,2130,23,3982,1567,52.1,2019,17,3926,1893,15,4107,1570,64.1,2019,24.0,31.0,0.0
0,23,3900,1649,18,4551,1855,71.3,2019,15,4498,1569,23,3543,2051,77.7,2019,30.0,34.0,0.0
0,19,3229,2054,23,3123,1649,49.4,2019,15,3961,1703,36,2886,1528,55.7,2019,10.0,16.0,0.0
0,25,4714,1361,20,3918,1775,59.6,2019,17,3582,2223,23,4080,1672,64.2,2019,10.0,24.0,0.0
0,24,4499,1499,24,3625,1809,50.6,2019,41,4845,1521,28,4322,1181,55.7,2019,40.0,55.0,0.0
0,18,3477,1990,17,4510,1922,57.7,2019,20,3791,2200,32,4223,1883,71.5,2019,10.0,27.0,0.0
0,19,3291,1458,19,3554,1632,41.5,2019,20,3523,2133,31,3737,1728,60.4,2019,16.0,6.0,1.0
0,16,3115,1662,17,3609,1783,50.8,2019,20,3760,1708,19,3778,2229,44.6,2019,24.0,26.0,0.0
0,8,4244,1738,23,3868,1461,73.3,2019,18,4751,2153,17,3576,1656,71.9,2019,12.0,10.0,1.0
0,30,2981,1447,38,3113,1753,36.2,2019,30,3652,1517,16,3917,2382,42.1,2019,27.0,3.0,1.0
0,20,3791,2200,32,4223,1883,71.5,2019,24,4499,1499,24,3625,1809,50.6,2019,30.0,29.0,1.0
0,30,2981,1447,38,3113,1753,36.2,2019,15,3225,3296,25,3315,1494,83.0,2019,23.0,26.0,0.0
0,17,3926,1893,15,4107,1570,64.1,2019,19,3291,1458,19,3554,1632,41.5,2019,24.0,21.0,1.0
0,30,3652,1517,16,3917,2382,42.1,2019,18,3477,1990,17,4510,1922,57.7,2019,23.0,26.0,0.0
0,35,3650,1819,21,3696,2296,38.3,2019,20,3760,1708,19,3778,2229,44.6,2019,34.0,27.0,1.0
0,33,3731,1685,16,4225,1812,55.7,2019,20,3523,2133,31,3737,1728,60.4,2019,10.0,28.0,0.0
0,21,2812,1583,22,3823,2339,45.6,2019,15,3961,1703,36,2886,1528,55.7,2019,7.0,33.0,0.0
0,23,3833,1939,20,3865,1442,62.8,2019,25,3111,1257,21,3779,1391,45.6,2019,31.0,6.0,1.0
0,8,4244,1738,23,3868,1461,73.3,2019,41,4845,1521,28,4322,1181,55.7,2019,31.0,24.0,1.0
0,22,3783,2009,22,4276,1937,70.5,2019,25,4714,1361,20,3918,1775,59.6,2019,53.0,32.0,1.0
0,17,3582,2223,23,4080,1672,64.2,2019,19,3229,2054,23,3123,1649,49.4,2019,7.0,14.0,0.0
0,31,4426,1453,14,3204,1805,50.5,2019,16,3115,1662,17,3609,1783,50.8,2019,13.0,20.0,0.0
0,18,4751,2153,17,3576,1656,71.9,2019,13,3733,1795,25,3721,1921,52.5,2019,24.0,34.0,0.0
0,15,4498,1569,23,3543,2051,77.7,2019,21,3108,2130,23,3982,1567,52.1,2019,13.0,19.0,0.0
0,23,3792,2305,27,2707,1802,60.8,2019,28,3554,1901,20,3470,2315,54.4,2019,31.0,3.0,1.0
0,15,3961,1703,36,2886,1528,55.7,2019,33,3731,1685,16,4225,1812,55.7,2019,35.0,14.0,1.0
0,41,4845,1521,28,4322,1181,55.7,2019,35,3650,1819,21,3696,2296,38.3,2019,26.0,37.0,0.0
0,15,3225,3296,25,3315,1494,83.0,2019,30,3652,1517,16,3917,2382,42.1,2019,23.0,17.0,1.0
0,28,3554,1901,20,3470,2315,54.4,2019,20,3791,2200,32,4223,1883,71.5,2019,28.0,32.0,0.0
0,15,4498,1569,23,3543,2051,77.7,2019,22,3783,2009,22,4276,1937,70.5,2019,24.0,31.0,0.0
0,20,3760,1708,19,3778,2229,44.6,2019,8,4244,1738,23,3868,1461,73.3,2019,6.0,13.0,0.0
0,20,3523,2133,31,3737,1728,60.4,2019,23,3833,1939,20,3865,1442,62.8,2019,38.0,20.0,1.0
0,26,3804,1156,16,4198,2166,68.3,2019,21,2812,1583,22,3823,2339,45.6,2019,16.0,17.0,0.0
0,24,4499,1499,24,3625,1809,50.6,2019,23,3792,2305,27,2707,1802,60.8,2019,7.0,20.0,0.0
0,18,3477,1990,17,4510,1922,57.7,2019,25,4714,1361,20,3918,1775,59.6,2019,34.0,33.0,1.0
0,25,3111,1257,21,3779,1391,45.6,2019,18,4751,2153,17,3576,1656,71.9,2019,24.0,22.0,1.0
0,16,3115,1662,17,3609,1783,50.8,2019,17,3582,2223,23,4080,1672,64.2,2019,16.0,0.0,1.0
0,31,4426,1453,14,3204,1805,50.5,2019,30,2981,1447,38,3113,1753,36.2,2019,17.0,24.0,0.0
0,13,3733,1795,25,3721,1921,52.5,2019,23,3900,1649,18,4551,1855,71.3,2019,23.0,22.0,1.0
0,16,3115,1662,17,3609,1783,50.8,2019,15,4498,1569,23,3543,2051,77.7,2019,6.0,30.0,0.0
0,33,3731,1685,16,4225,1812,55.7,2019,18,3477,1990,17,4510,1922,57.7,2019,21.0,27.0,0.0
0,21,3108,2130,23,3982,1567,52.1,2019,22,3783,2009,22,4276,1937,70.5,2019,30.0,23.0,1.0
0,19,3229,2054,23,3123,1649,49.4,2019,26,3804,1156,16,4198,2166,68.3,2019,31.0,21.0,1.0
0,23,3900,1649,18,4551,1855,71.3,2019,20,3523,2133,31,3737,1728,60.4,2019,30.0,42.0,0.0
0,13,3733,1795,25,3721,1921,52.5,2019,17,3926,1893,15,4107,1570,64.1,2019,42.0,24.0,1.0
0,30,3652,1517,16,3917,2382,42.1,2019,20,3760,1708,19,3778,2229,44.6,2019,17.0,27.0,0.0
0,25,4714,1361,20,3918,1775,59.6,2019,24,4499,1499,24,3625,1809,50.6,2019,10.0,37.0,0.0
0,21,2812,1583,22,3823,2339,45.6,2019,23,3792,2305,27,2707,1802,60.8,2019,0.0,9.0,0.0
0,17,3582,2223,23,4080,1672,64.2,2019,31,4426,1453,14,3204,1805,50.5,2019,23.0,20.0,1.0
0,20,3791,2200,32,4223,1883,71.5,2019,15,3225,3296,25,3315,1494,83.0,2019,16.0,30.0,0.0
0,19,3291,1458,19,3554,1632,41.5,2019,8,4244,1738,23,3868,1461,73.3,2019,25.0,36.0,0.0
0,18,4751,2153,17,3576,1656,71.9,2019,23,3833,1939,20,3865,1442,62.8,2019,37.0,10.0,1.0
0,25,3111,1257,21,3779,1391,45.6,2019,15,3961,1703,36,2886,1528,55.7,2019,0.0,33.0,0.0
0,20,3523,2133,31,3737,1728,60.4,2019,21,2812,1583,22,3823,2339,45.6,2019,19.0,9.0,1.0
0,23,3900,1649,18,4551,1855,71.3,2019,33,3731,1685,16,4225,1812,55.7,2019,31.0,26.0,1.0
0,17,3582,2223,23,4080,1672,64.2,2019,41,4845,1521,28,4322,1181,55.7,2019,27.0,23.0,1.0
0,19,3291,1458,19,3554,1632,41.5,2019,31,4426,1453,14,3204,1805,50.5,2019,16.0,17.0,0.0
0,25,4714,1361,20,3918,1775,59.6,2019,20,3791,2200,32,4223,1883,71.5,2019,20.0,27.0,0.0
0,20,3760,1708,19,3778,2229,44.6,2019,25,3111,1257,21,3779,1391,45.6,2019,29.0,15.0,1.0
0,19,3229,2054,23,3123,1649,49.4,2019,23,3833,1939,20,3865,1442,62.8,2019,13.0,31.0,0.0
0,24,4499,1499,24,3625,1809,50.6,2019,30,3652,1517,16,3917,2382,42.1,2019,24.0,10.0,1.0
0,8,4244,1738,23,3868,1461,73.3,2019,18,3477,1990,17,4510,1922,57.7,2019,31.0,9.0,1.0
0,22,3783,2009,22,4276,1937,70.5,2019,17,3926,1893,15,4107,1570,64.1,2019,27.0,24.0,1.0
0,23,3792,2305,27,2707,1802,60.8,2019,35,3650,1819,21,3696,2296,38.3,2019,51.0,13.0,1.0
0,21,3108,2130,23,3982,1567,52.1,2019,16,3115,1662,17,3609,1783,50.8,2019,15.0,13.0,1.0
0,15,3961,1703,36,2886,1528,55.7,2019,28,3554,1901,20,3470,2315,54.4,2019,27.0,13.0,1.0
0,15,4498,1569,23,3543,2051,77.7,2019,13,3733,1795,25,3721,1921,52.5,2019,24.0,31.0,0.0
0,30,2981,1447,38,3113,1753,36.2,2019,26,3804,1156,16,4198,2166,68.3,2019,27.0,14.0,1.0
0,18,3477,1990,17,4510,1922,57.7,2019,23,3792,2305,27,2707,1802,60.8,2019,25.0,28.0,0.0
0,20,3760,1708,19,3778,2229,44.6,2019,22,3783,2009,22,4276,1937,70.5,2019,3.0,26.0,0.0
0,19,3229,2054,23,3123,1649,49.4,2019,21,2812,1583,22,3823,2339,45.6,2019,24.0,9.0,1.0
0,35,3650,1819,21,3696,2296,38.3,2019,17,3582,2223,23,4080,1672,64.2,2019,30.0,20.0,1.0
0,23,3833,1939,20,3865,1442,62.8,2019,19,3291,1458,19,3554,1632,41.5,2019,22.0,14.0,1.0
0,15,4498,1569,23,3543,2051,77.7,2019,20,3523,2133,31,3737,1728,60.4,2019,26.0,23.0,1.0
0,26,3804,1156,16,4198,2166,68.3,2019,25,3111,1257,21,3779,1391,45.6,2019,26.0,18.0,1.0
0,30,2981,1447,38,3113,1753,36.2,2019,21,3108,2130,23,3982,1567,52.1,2019,26.0,24.0,1.0
0,17,3926,1893,15,4107,1570,64.1,2019,23,3900,1649,18,4551,1855,71.3,2019,31.0,24.0,1.0
0,20,3791,2200,32,4223,1883,71.5,2019,41,4845,1521,28,4322,1181,55.7,2019,40.0,34.0,1.0
0,16,3115,1662,17,3609,1783,50.8,2019,28,3554,1901,20,3470,2315,54.4,2019,24.0,19.0,1.0
0,31,4426,1453,14,3204,1805,50.5,2019,13,3733,1795,25,3721,1921,52.5,2019,26.0,11.0,1.0
0,15,3225,3296,25,3315,1494,83.0,2019,15,3961,1703,36,2886,1528,55.7,2019,37.0,20.0,1.0
0,33,3731,1685,16,4225,1812,55.7,2019,18,4751,2153,17,3576,1656,71.9,2019,18.0,37.0,0.0
0,17,3926,1893,15,4107,1570,64.1,2019,31,4426,1453,14,3204,1805,50.5,2019,26.0,24.0,1.0
0,17,3582,2223,23,4080,1672,64.2,2019,15,4498,1569,23,3543,2051,77.7,2019,35.0,32.0,1.0
0,28,3554,1901,20,3470,2315,54.4,2019,19,3229,2054,23,3123,1649,49.4,2019,19.0,16.0,1.0
0,41,4845,1521,28,4322,1181,55.7,2019,18,3477,1990,17,4510,1922,57.7,2019,30.0,27.0,1.0
0,25,3111,1257,21,3779,1391,45.6,2019,33,3731,1685,16,4225,1812,55.7,2019,34.0,27.0,1.0
0,8,4244,1738,23,3868,1461,73.3,2019,25,4714,1361,20,3918,1775,59.6,2019,9.0,26.0,0.0
0,30,3652,1517,16,3917,2382,42.1,2019,15,3225,3296,25,3315,1494,83.0,2019,13.0,49.0,0.0
0,13,3733,1795,25,3721,1921,52.5,2019,35,3650,1819,21,3696,2296,38.3,2019,24.0,16.0,1.0
0,19,3291,1458,19,3554,1632,41.5,2019,23,3900,1649,18,4551,1855,71.3,2019,20.0,13.0,1.0
0,21,3108,2130,23,3982,1567,52.1,2019,26,3804,1156,16,4198,2166,68.3,2019,12.0,16.0,0.0
0,30,2981,1447,38,3113,1753,36.2,2019,24,4499,1499,24,3625,1809,50.6,2019,17.0,12.0,1.0
0,18,4751,2153,17,3576,1656,71.9,2019,20,3523,2133,31,3737,1728,60.4,2019,24.0,28.0,0.0
0,23,3792,2305,27,2707,1802,60.8,2019,20,3791,2200,32,4223,1883,71.5,2019,24.0,27.0,0.0
0,28,3554,1901,20,3470,2315,54.4,2019,30,2981,1447,38,3113,1753,36.2,2019,21.0,7.0,1.0
0,23,3900,1649,18,4551,1855,71.3,2019,18,4751,2153,17,3576,1656,71.9,2019,27.0,35.0,0.0
0,41,4845,1521,28,4322,1181,55.7,2019,8,4244,1738,23,3868,1461,73.3,2019,17.0,34.0,0.0
0,35,3650,1819,21,3696,2296,38.3,2019,25,4714,1361,20,3918,1775,59.6,2019,3.0,29.0,0.0
0,21,3108,2130,23,3982,1567,52.1,2019,20,3760,1708,19,3778,2229,44.6,2019,33.0,13.0,1.0
0,20,3523,2133,31,3737,1728,60.4,2019,16,3115,1662,17,3609,1783,50.8,2019,27.0,23.0,1.0
0,21,2812,1583,22,3823,2339,45.6,2019,25,3111,1257,21,3779,1391,45.6,2019,17.0,34.0,0.0
0,26,3804,1156,16,4198,2166,68.3,2019,19,3229,2054,23,3123,1649,49.4,2019,20.0,37.0,0.0
0,15,3225,3296,25,3315,1494,83.0,2019,22,3783,2009,22,4276,1937,70.5,2019,41.0,7.0,1.0
0,23,3792,2305,27,2707,1802,60.8,2019,18,3477,1990,17,4510,1922,57.7,2019,36.0,26.0,1.0
0,23,3833,1939,20,3865,1442,62.8,2019,15,3961,1703,36,2886,1528,55.7,2019,10.0,17.0,0.0
0,17,3926,1893,15,4107,1570,64.1,2019,30,3652,1517,16,3917,2382,42.1,2019,17.0,10.0,1.0
0,24,4499,1499,24,3625,1809,50.6,2019,19,3291,1458,19,3554,1632,41.5,2019,17.0,7.0,1.0
0,31,4426,1453,14,3204,1805,50.5,2019,15,4498,1569,23,3543,2051,77.7,2019,17.0,24.0,0.0
0,22,3783,2009,22,4276,1937,70.5,2019,21,3108,2130,23,3982,1567,52.1,2019,20.0,17.0,1.0
0,28,3554,1901,20,3470,2315,54.4,2019,26,3804,1156,16,4198,2166,68.3,2019,41.0,24.0,1.0
0,19,3229,2054,23,3123,1649,49.4,2019,16,3115,1662,17,3609,1783,50.8,2019,20.0,3.0,1.0
0,30,3652,1517,16,3917,2382,42.1,2019,30,2981,1447,38,3113,1753,36.2,2019,10.0,16.0,0.0
0,19,3291,1458,19,3554,1632,41.5,2019,33,3731,1685,16,4225,1812,55.7,2019,19.0,14.0,1.0
0,25,3111,1257,21,3779,1391,45.6,2019,17,3926,1893,15,4107,1570,64.1,2019,34.0,3.0,1.0
0,8,4244,1738,23,3868,1461,73.3,2019,35,3650,1819,21,3696,2296,38.3,2019,34.0,31.0,1.0
0,25,4714,1361,20,3918,1775,59.6,2019,41,4845,1521,28,4322,1181,55.7,2019,22.0,35.0,0.0
0,21,2812,1583,22,3823,2339,45.6,2019,23,3900,1649,18,4551,1855,71.3,2019,19.0,16.0,1.0
0,17,3582,2223,23,4080,1672,64.2,2019,20,3760,1708,19,3778,2229,44.6,2019,42.0,20.0,1.0
0,15,3961,1703,36,2886,1528,55.7,2019,18,4751,2153,17,3576,1656,71.9,2019,13.0,9.0,1.0
0,23,3792,2305,27,2707,1802,60.8,2019,13,3733,1795,25,3721,1921,52.5,2019,37.0,8.0,1.0
0,23,3833,1939,20,3865,1442,62.8,2019,20,3791,2200,32,4223,1883,71.5,2019,9.0,17.0,0.0
0,24,4499,1499,24,3625,1809,50.6,2019,15,3225,3296,25,3315,1494,83.0,2019,6.0,45.0,0.0
0,23,3900,1649,18,4551,1855,71.3,2019,19,3291,1458,19,3554,1632,41.5,2019,20.0,24.0,0.0
0,18,4751,2153,17,3576,1656,71.9,2019,19,3229,2054,23,3123,1649,49.4,2019,15.0,26.0,0.0
0,25,4714,1361,20,3918,1775,59.6,2019,8,4244,1738,23,3868,1461,73.3,2019,18.0,26.0,0.0
0,33,3731,1685,16,4225,1812,55.7,2019,13,3733,1795,25,3721,1921,52.5,2019,13.0,31.0,0.0
0,35,3650,1819,21,3696,2296,38.3,2019,21,2812,1583,22,3823,2339,45.6,2019,21.0,29.0,0.0
0,15,3225,3296,25,3315,1494,83.0,2019,23,3792,2305,27,2707,1802,60.8,2019,20.0,17.0,1.0
0,21,3108,2130,23,3982,1567,52.1,2019,17,3582,2223,23,4080,1672,64.2,2019,17.0,31.0,0.0
0,26,3804,1156,16,4198,2166,68.3,2019,23,3833,1939,20,3865,1442,62.8,2019,37.0,31.0,1.0
0,15,4498,1569,23,3543,2051,77.7,2019,17,3926,1893,15,4107,1570,64.1,2019,40.0,9.0,1.0
0,20,3760,1708,19,3778,2229,44.6,2019,41,4845,1521,28,4322,1181,55.7,2019,11.0,28.0,0.0
0,30,3652,1517,16,3917,2382,42.1,2019,25,3111,1257,21,3779,1391,45.6,2019,22.0,6.0,1.0
0,18,3477,1990,17,4510,1922,57.7,2019,24,4499,1499,24,3625,1809,50.6,2019,7.0,34.0,0.0
0,16,3115,1662,17,3609,1783,50.8,2019,31,4426,1453,14,3204,1805,50.5,2019,23.0,20.0,1.0
0,30,2981,1447,38,3113,1753,36.2,2019,28,3554,1901,20,3470,2315,54.4,2019,20.0,13.0,1.0
0,22,3783,2009,22,4276,1937,70.5,2019,15,3961,1703,36,2886,1528,55.7,2019,28.0,22.0,1.0
0,20,3791,2200,32,4223,1883,71.5,2019,20,3523,2133,31,3737,1728,60.4,2019,37.0,30.0,1.0
0,19,3291,1458,19,3554,1632,41.5,2019,18,4751,2153,17,3576,1656,71.9,2019,31.0,24.0,1.0
0,19,3229,2054,23,3123,1649,49.4,2019,15,3225,3296,25,3315,1494,83.0,2019,17.0,24.0,0.0
0,13,3733,1795,25,3721,1921,52.5,2019,21,2812,1583,22,3823,2339,45.6,2019,20.0,15.0,1.0
0,22,3783,2009,22,4276,1937,70.5,2019,16,3115,1662,17,3609,1783,50.8,2019,24.0,38.0,0.0
0,8,4244,1738,23,3868,1461,73.3,2019,23,3792,2305,27,2707,1802,60.8,2019,46.0,48.0,0.0
0,28,3554,1901,20,3470,2315,54.4,2019,30,3652,1517,16,3917,2382,42.1,2019,27.0,19.0,1.0
0,25,4714,1361,20,3918,1775,59.6,2019,35,3650,1819,21,3696,2296,38.3,2019,40.0,20.0,1.0
0,20,3523,2133,31,3737,1728,60.4,2019,23,3900,1649,18,4551,1855,71.3,2019,20.0,7.0,1.0
0,25,3111,1257,21,3779,1391,45.6,2019,26,3804,1156,16,4198,2166,68.3,2019,22.0,21.0,1.0
0,41,4845,1521,28,4322,1181,55.7,2019,21,3108,2130,23,3982,1567,52.1,2019,38.0,35.0,1.0
0,20,3760,1708,19,3778,2229,44.6,2019,31,4426,1453,14,3204,1805,50.5,2019,10.0,45.0,0.0
0,15,3961,1703,36,2886,1528,55.7,2019,15,4498,1569,23,3543,2051,77.7,2019,16.0,23.0,0.0
0,18,3477,1990,17,4510,1922,57.7,2019,30,2981,1447,38,3113,1753,36.2,2019,17.0,23.0,0.0
0,17,3926,1893,15,4107,1570,64.1,2019,17,3582,2223,23,4080,1672,64.2,2019,21.0,42.0,0.0
0,24,4499,1499,24,3625,1809,50.6,2019,20,3791,2200,32,4223,1883,71.5,2019,28.0,12.0,1.0
0,23,3833,1939,20,3865,1442,62.8,2019,33,3731,1685,16,4225,1812,55.7,2019,23.0,17.0,1.0
0,15,3225,3296,25,3315,1494,83.0,2019,25,3111,1257,21,3779,1391,45.6,2019,42.0,21.0,1.0
0,23,3900,1649,18,4551,1855,71.3,2019,41,4845,1521,28,4322,1181,55.7,2019,17.0,38.0,0.0
0,21,2812,1583,22,3823,2339,45.6,2019,23,3833,1939,20,3865,1442,62.8,2019,27.0,37.0,0.0
0,13,3733,1795,25,3721,1921,52.5,2019,19,3291,1458,19,3554,1632,41.5,2019,21.0,13.0,1.0
0,30,3652,1517,16,3917,2382,42.1,2019,15,3961,1703,36,2886,1528,55.7,2019,13.0,34.0,0.0
0,17,3582,2223,23,4080,1672,64.2,2019,22,3783,2009,22,4276,1937,70.5,2019,21.0,24.0,0.0
0,35,3650,1819,21,3696,2296,38.3,2019,20,3791,2200,32,4223,1883,71.5,2019,24.0,30.0,0.0
0,15,4498,1569,23,3543,2051,77.7,2019,16,3115,1662,17,3609,1783,50.8,2019,23.0,3.0,1.0
0,33,3731,1685,16,4225,1812,55.7,2019,26,3804,1156,16,4198,2166,68.3,2019,36.0,20.0,1.0
0,30,2981,1447,38,3113,1753,36.2,2019,19,3229,2054,23,3123,1649,49.4,2019,10.0,17.0,0.0
0,17,3926,1893,15,4107,1570,64.1,2019,20,3760,1708,19,3778,2229,44.6,2019,16.0,20.0,0.0
0,18,3477,1990,17,4510,1922,57.7,2019,28,3554,1901,20,3470,2315,54.4,2019,38.0,24.0,1.0
0,23,3792,2305,27,2707,1802,60.8,2019,25,4714,1361,20,3918,1775,59.6,2019,22.0,29.0,0.0
0,18,4751,2153,17,3576,1656,71.9,2019,24,4499,1499,24,3625,1809,50.6,2019,44.0,21.0,1.0
0,31,4426,1453,14,3204,1805,50.5,2019,20,3523,2133,31,3737,1728,60.4,2019,10.0,39.0,0.0
0,8,4244,1738,23,3868,1461,73.3,2019,21,3108,2130,23,3982,1567,52.1,2019,34.0,7.0,1.0
0,23,3792,2305,27,2707,1802,60.8,2019,24,4499,1499,24,3625,1809,50.6,2019,34.0,31.0,1.0
0,15,3961,1703,36,2886,1528,55.7,2019,19,3229,2054,23,3123,1649,49.4,2019,24.0,17.0,1.0
0,41,4845,1521,28,4322,1181,55.7,2019,22,3783,2009,22,4276,1937,70.5,2019,20.0,23.0,0.0
